SERVICE_ID,BLOCK_ID,PULLOUTTIME,PULLINTIME
2,101,12120,90600
2,102,13440,91140
2,103,13920,89340
2,104,21540,82980
2,105,22020,81180
2,106,23340,84780
2,301,13740,81240
2,302,15540,81660
2,303,21840,82140
2,304,22080,67200
2,305,23640,90660
2,351,58440,90480
2,501,14580,80220
2,502,19320,92040
2,901,13080,82380
2,902,13200,82680
2,903,14880,79980
2,904,15000,80640
2,905,21180,90480
2,906,21300,90780
2,907,22980,88980
2,908,23100,88680
2,909,23880,81780
2,1301,14280,68640
2,1302,15780,88140
2,1303,17880,66120
2,1304,24180,89940
2,1305,26880,81240
2,1306,22380,35100
2,1307,25080,31500
2,1351,55380,91740
2,1352,58980,83640
2,1501,13500,65640
2,1502,12900,81180
2,1503,14700,93900
2,1504,21600,92580
2,1505,21000,92100
2,1506,23400,94380
2,1507,15300,35400
2,1508,22800,35640
2,1551,54900,68700
2,1552,54300,68280
2,1553,58500,81900
2,1601,14700,89580
2,1602,21900,70200
2,1603,23280,66840
2,1604,23700,83880
2,1605,25500,73080
2,1606,12900,36900
2,1607,16500,35100
2,1608,18300,34440
2,1651,55680,81180
2,1652,55200,89580
2,1653,58800,91680
2,1701,13200,69720
2,1702,13740,94020
2,1703,15000,80520
2,1704,15540,67500
2,1705,24900,91920
2,1706,25440,90420
2,1707,21300,35640
2,1708,21840,36360
2,1709,23100,34080
2,1710,23640,33420
2,1751,53940,93720
2,1752,54900,65700
2,1753,56640,92220
2,1754,57600,79620
2,1801,16380,86100
2,1802,16500,80940
2,1803,21000,87900
2,1804,22800,67140
2,1805,23700,89700
2,1806,25380,79320
2,1807,25500,69900
2,1808,27300,72060
2,1809,29100,93300
2,1810,12900,34920
2,1811,14700,37620
2,1812,18300,35040
2,1851,55200,82920
2,1852,58800,91500
2,1853,61500,89520
2,2001,20400,70740
2,2002,15000,68220
2,2003,26100,80160
2,2004,15960,83100
2,2005,12360,92760
2,2006,25200,89160
2,2007,24060,92700
2,2008,24960,65700
2,2009,16800,90960
2,2010,14160,33060
2,2011,20460,35100
2,2012,23700,34560
2,2013,22260,36960
2,2051,53520,69120
2,2052,55800,87360
2,2053,56220,90900
2,2054,58500,76380
2,2201,11460,46740
2,2202,13260,36120
2,2203,13380,43140
2,2204,15060,37680
